period,MBBL,MBBL/D,year,month,quarter,dayofyear,weekofyear,lag_1,lag_2,lag_3,rolling_mean_3,rolling_mean_6,rolling_std_3,rolling_std_6,target
1993-08-01,99137,3198,1993,8,3,213,30,3193.0,3230.0,3239.0,3220.6666666666665,3244.0,24.378952671005166,32.38518179653281,3200.0
1993-09-01,96003,3200,1993,9,3,244,35,3198.0,3193.0,3230.0,3207.0,3228.8333333333335,20.074859899929624,28.124129616062383,3200.0
1993-10-01,99206,3200,1993,10,4,274,39,3200.0,3198.0,3193.0,3197.0,3218.3333333333335,3.605551275716159,24.320087719024,3214.0
1993-11-01,96412,3214,1993,11,4,305,44,3200.0,3200.0,3198.0,3199.3333333333335,3210.0,1.15470053916501,19.35975206438117,3195.0
1993-12-01,99043,3195,1993,12,4,335,48,3214.0,3200.0,3200.0,3204.6666666666665,3205.8333333333335,8.082903768766347,13.74651470958929,3201.0
1994-01-01,99229,3201,1994,1,1,1,52,3195.0,3214.0,3200.0,3203.0,3200.0,9.848857801887764,7.402702208940411,3187.0
1994-02-01,89228,3187,1994,2,1,32,5,3201.0,3195.0,3214.0,3203.3333333333335,3201.3333333333335,9.712534856315242,6.562519840802495,3190.0
1994-03-01,98879,3190,1994,3,1,60,9,3187.0,3201.0,3195.0,3194.3333333333335,3199.5,7.023769168698164,8.826097665120628,3154.0
1994-04-01,94628,3154,1994,4,2,91,13,3190.0,3187.0,3201.0,3192.6666666666665,3197.8333333333335,7.371114795955781,9.621157241252433,3133.0
1994-05-01,97116,3133,1994,5,2,121,17,3154.0,3190.0,3187.0,3177.0,3190.1666666666665,19.97498435548453,20.13371964294869,3120.0
1994-06-01,93598,3120,1994,6,2,152,22,3133.0,3154.0,3190.0,3159.0,3176.6666666666665,28.827070610831765,26.956755492098395,3070.0
1994-07-01,95165,3070,1994,7,3,182,26,3120.0,3133.0,3154.0,3135.6666666666665,3164.1666666666665,17.156145643333016,33.37913519941322,3101.0
1994-08-01,96129,3101,1994,8,3,213,31,3070.0,3120.0,3133.0,3107.6666666666665,3142.3333333333335,33.26158945894366,45.21356728528037,3121.0
1994-09-01,93626,3121,1994,9,3,244,35,3101.0,3070.0,3120.0,3097.0,3128.0,25.238858928287573,41.718101586647236,3089.0
1994-10-01,95767,3089,1994,10,4,274,39,3121.0,3101.0,3070.0,3097.3333333333335,3116.5,25.69695182964959,28.682747427569478,3134.0
1994-11-01,94026,3134,1994,11,4,305,44,3089.0,3121.0,3101.0,3103.6666666666665,3105.6666666666665,16.16580753737102,23.491842555669006,3146.0
